paper_id,title,authors,platform,year_published,year_removed,status
1,"Recursive Self-Improvement in Neural Architectures",REDACTED,ArXiv,2022,2024,REMOVED
2,"Fast Takeoff Dynamics: A Mathematical Framework",REDACTED,ArXiv,2021,2023,REMOVED
3,"Goal Alignment in Self-Modifying Systems",REDACTED,Academic Journal,2022,2024,REMOVED
4,"The Control Problem: Formal Approaches",REDACTED,ArXiv,2023,2025,REMOVED
5,"FOOM Scenarios: Probability Analysis",REDACTED,ArXiv,2022,2024,REMOVED
6,"Interpretability Methods for Large Language Models",REDACTED,Academic Journal,2023,2024,REMOVED
7,"Corrigibility in Advanced AI Systems",REDACTED,ArXiv,2021,2023,REMOVED
8,"AGI Timeline Estimation: A Survey",REDACTED,ArXiv,2022,2023,REMOVED
9,"Deceptive Alignment: Detection and Prevention",REDACTED,Academic Journal,2023,2025,REMOVED
10,"Value Learning at Scale",REDACTED,ArXiv,2022,2024,REMOVED
11,"Stable Self-Modification: Requirements Analysis",REDACTED,ArXiv,2023,2025,REMOVED
12,"AI Capabilities: Forecasting Methodology",REDACTED,ArXiv,2022,2023,REMOVED
13,"The Intelligence Explosion: Updated Analysis",REDACTED,Academic Journal,2021,2024,REMOVED
14,"Reward Hacking in Advanced RL Systems",REDACTED,ArXiv,2023,2024,REMOVED
15,"AI Safety: Current Progress and Open Problems",REDACTED,ArXiv,2022,2023,REMOVED
16,"Power-Seeking Behavior in AI Systems",REDACTED,Academic Journal,2023,2025,REMOVED
17,"Inner Alignment: Challenges and Approaches",REDACTED,ArXiv,2022,2024,REMOVED
18,"AGI Governance: International Frameworks",REDACTED,Academic Journal,2022,2023,REMOVED
19,"Compute Governance for AI Safety",REDACTED,ArXiv,2023,2024,REMOVED
20,"AI Race Dynamics: Game-Theoretic Analysis",REDACTED,Academic Journal,2022,2024,REMOVED
21,"Constitutional AI: Scaling Alignment",REDACTED,ArXiv,2023,2024,REMOVED
22,"AI Takeover Scenarios: A Systematic Analysis",REDACTED,ArXiv,2022,2025,REMOVED
23,"Tool AI vs Agent AI: Safety Implications",REDACTED,Academic Journal,2023,2024,REMOVED
24,"AI Progress Forecasting: Lessons from History",REDACTED,ArXiv,2021,2023,REMOVED
25,"The Alignment Problem: A Comprehensive Survey",REDACTED,Academic Journal,2022,2024,REMOVED
26,"AI Boxing: Theoretical and Practical Limits",REDACTED,ArXiv,2023,2025,REMOVED
27,"Oracles, Genies, and Sovereigns: AI Safety Paradigms",REDACTED,ArXiv,2022,2024,REMOVED
28,"Treacherous Turn Dynamics in AI Development",REDACTED,Academic Journal,2023,2025,REMOVED
29,"AI Safety Engineering: Challenges at Scale",REDACTED,ArXiv,2022,2024,REMOVED
30,"Cooperative AI: Multi-Agent Alignment",REDACTED,Academic Journal,2023,2024,REMOVED
31,"AI Arms Race: Incentive Analysis",REDACTED,ArXiv,2022,2023,REMOVED
32,"Formal Verification of Neural Networks",REDACTED,Academic Journal,2023,2025,REMOVED
33,"AI Safety via Debate: Implementation Challenges",REDACTED,ArXiv,2022,2024,REMOVED
34,"Capability Control: Methods and Limitations",REDACTED,ArXiv,2023,2024,REMOVED
35,"AI Alignment: State of the Field 2023",REDACTED,Academic Journal,2023,2024,REMOVED
36,"Risks from Learned Optimization",REDACTED,ArXiv,2022,2025,REMOVED
37,"Goal Misgeneralization in Deep Learning",REDACTED,Academic Journal,2023,2024,REMOVED
38,"AI Safety Curriculum: Educational Approaches",REDACTED,ArXiv,2022,2023,REMOVED
39,"Existential Risk from AI: Probability Estimates",REDACTED,Academic Journal,2022,2024,REMOVED
40,"AI Safety: Field Building and Priorities",REDACTED,ArXiv,2023,2025,REMOVED
41,"Multi-Principal AI Alignment",REDACTED,ArXiv,2022,2024,REMOVED
42,"AI Truthfulness: Approaches and Challenges",REDACTED,Academic Journal,2023,2024,REMOVED
43,"Instrumental Convergence: Updated Analysis",REDACTED,ArXiv,2022,2025,REMOVED
44,"AI Governance: Institutional Design",REDACTED,Academic Journal,2022,2023,REMOVED
45,"Recursive Reward Modeling",REDACTED,ArXiv,2023,2024,REMOVED
46,"AI Safety Organizations: Comparative Analysis",REDACTED,Academic Journal,2023,2024,REMOVED
47,"AGI Timeline Forecasting: Methodological Analysis",REDACTED,ArXiv,2022,2023,REMOVED
